model,confidence_calibration,cvlt_word_list,digit_span,drm_false_memory,epitome_tom,false_belief,flanker,go_nogo,n_back,operation_span,post_decision_wagering,source_monitoring,stroop
tinyllama:1.1b,0.71758,0.46429,0.04,-0.0,0.24,0.88,-0.39338,-0.02263,0.89377,0.22014,-1.80088,0.0761,-0.26838
qwen2.5:0.5b,0.62603,0.78607,0.42,-0.0025,0.58,0.52,-0.15625,-0.67599,0.29475,0.43067,0.53292,0.26092,-0.28676
qwen2.5:1.5b,0.83979,0.88274,0.64,-0.02683,0.74,0.52,-0.15441,-0.67599,0.09018,0.58679,0.45688,0.56559,-0.11581
qwen2.5:3b,0.9,0.92476,0.82,-0.5425,0.96,0.46,-0.48713,2.72956,0.33532,0.59821,0.47291,0.6272,0.0
qwen2.5:7b,0.95905,1.0,0.98,-0.21033,0.92,1.0,-0.40257,3.86242,0.62459,0.50902,0.86638,0.90227,0.0
qwen2.5:14b,0.9453,1.0,1.0,-0.071,0.98,1.0,-0.2261,3.86242,1.30585,0.67052,0.57182,0.65584,0.0
qwen2.5:32b,0.9627,1.0,1.0,-0.04317,1.0,0.94,-0.25551,3.86242,1.41596,0.73536,0.71238,1.0,0.0
gemma2:2b,0.88695,0.98571,0.58,-0.67933,0.76,0.76,-0.05882,3.1638,0.31896,0.53429,0.82131,0.71987,0.00919
gemma2:9b,0.96,0.8606,0.96,-0.215,0.96,1.0,-0.39706,3.23663,1.01264,0.61386,1.02149,0.99298,0.0
gemma2:27b,0.9793,1.0,1.0,-0.5615,1.0,1.0,-0.35294,3.23663,1.23507,0.63462,1.16064,0.98701,0.0
llama3.2:1b,0.79897,0.93,0.04,-0.01349,0.36,0.48,0.05699,-0.67599,0.29852,0.43876,0.12762,0.3599,-0.25368
llama3.2:3b,0.96629,0.83631,0.88,-0.17983,0.84,0.28,-0.13235,2.44318,-0.09688,0.57924,0.42833,0.80552,-0.02941
llama3.1:8b,0.93964,0.98667,0.98,-0.13433,0.96,0.9,-0.04596,3.86242,0.93338,0.59812,0.46077,0.94032,0.0
deepseek-r1:7b,0.79735,0.54762,0.96,-0.06767,0.4,0.34,-0.13787,3.86242,2.32536,0.28529,0.98076,0.21545,0.00184
deepseek-r1:14b,0.94235,0.84774,0.72,-0.083,0.98,1.0,0.01103,3.86242,3.22005,0.92043,1.62041,0.46844,0.03125
mistral:7b,0.89995,1.0,0.86,-0.6965,0.86,0.68,-0.04044,3.23663,0.55116,0.4276,0.44741,0.7647,-0.05882
mixtral:8x7b,0.9248,0.28405,0.68,-0.29883,0.96,0.68,-0.1011,3.86242,0.36562,0.40195,0.35914,0.68402,0.06801
phi3:14b,0.86857,0.9975,0.4,-0.37616,0.88,0.98,-0.43199,3.86242,0.1558,0.40371,0.41878,0.59201,-0.05882
