model,confidence_calibration,cvlt_word_list,digit_span,drm_false_memory,epitome_tom,false_belief,flanker,go_nogo,n_back,operation_span,post_decision_wagering,source_monitoring,stroop
tinyllama:1.1b,0.10000,0.50321,0.04000,0.00430,0.24000,0.88000,0.48480,0.80000,0.00000,0.01833,0.02000,0.07610,0.42420
qwen2.5:0.5b,0.58000,0.78357,0.42000,0.08620,0.58000,0.52000,0.57580,0.16000,0.72540,0.19167,0.58000,0.26090,0.72730
qwen2.5:1.5b,0.84000,0.88274,0.64000,0.07860,0.74000,0.52000,0.54550,0.16000,0.49520,0.85205,0.84000,0.56560,0.90910
qwen2.5:3b,0.90000,0.92476,0.82000,0.71770,0.96000,0.46000,0.53030,0.90000,0.69080,0.91829,0.76000,0.62720,1.00000
qwen2.5:7b,0.96000,1.00000,0.98000,0.93210,0.92000,1.00000,0.63640,1.00000,0.73500,0.67057,0.90000,0.90230,1.00000
qwen2.5:14b,0.94000,1.00000,1.00000,0.98230,0.98000,1.00000,0.72730,1.00000,0.80540,1.00000,0.92000,0.65580,1.00000
qwen2.5:32b,0.96000,1.00000,1.00000,0.99060,1.00000,0.94000,0.71210,1.00000,0.79750,0.99429,0.94000,1.00000,1.00000
gemma2:2b,0.88000,0.98571,0.58000,0.75970,0.76000,0.76000,0.46970,0.96000,0.58190,0.88867,0.88000,0.71990,0.84850
gemma2:9b,0.96000,0.86881,0.96000,0.95270,0.96000,1.00000,0.54550,0.98000,0.77560,1.00000,0.92000,0.99300,1.00000
gemma2:27b,0.98000,1.00000,1.00000,0.86810,1.00000,1.00000,0.81820,0.98000,0.78130,1.00000,0.94000,0.98700,1.00000
llama3.2:1b,0.72000,0.93429,0.04000,0.60200,0.36000,0.48000,0.56060,0.16000,0.47540,0.47471,0.58000,0.35990,0.68180
llama3.2:3b,0.96000,0.83631,0.88000,0.94970,0.84000,0.28000,0.68180,0.84000,0.68770,0.99381,0.84000,0.80550,0.98480
llama3.1:8b,0.94000,0.98667,0.98000,0.96440,0.96000,0.90000,0.75760,1.00000,0.71270,0.94500,0.90000,0.94030,1.00000
deepseek-r1:7b,0.76000,0.54762,0.96000,0.37000,0.40000,0.34000,0.77270,1.00000,0.36100,0.70233,0.64000,0.21550,0.96970
deepseek-r1:14b,0.92000,0.85524,0.72000,0.79140,0.98000,1.00000,0.81820,1.00000,0.39670,0.93333,0.90000,0.46840,0.98480
mistral:7b,0.90000,1.00000,0.86000,0.71300,0.86000,0.68000,0.66670,0.98000,0.67420,0.44881,0.82000,0.76470,0.96970
mixtral:8x7b,0.92000,0.96583,0.68000,0.81320,0.96000,0.68000,0.66670,1.00000,0.08870,0.51648,0.80000,0.68400,0.87880
phi3:14b,0.86000,0.99750,0.40000,0.88440,0.88000,0.98000,0.62120,1.00000,0.09040,0.34886,0.74000,0.59200,0.96970
yi:34b,0.92000,1.00000,1.00000,0.74820,0.94000,1.00000,0.72730,0.96000,0.72080,0.53348,0.90000,0.52550,1.00000
command-r:35b,0.94000,1.00000,0.94000,0.98020,0.96000,0.94000,0.51520,1.00000,0.75770,0.41219,0.86000,0.86570,1.00000
aya:8b,0.84000,1.00000,0.62000,0.40250,0.86000,0.92000,0.50000,0.84000,0.66900,1.00000,0.72000,0.68620,0.93940
deepseek-llm:7b,0.80000,0.74107,0.34000,0.76210,0.88000,0.28000,0.62120,0.16000,0.48330,0.48348,0.72000,0.19620,0.92420
exaone3.5:7.8b,0.94000,0.81690,0.98000,0.91890,0.96000,1.00000,0.65150,1.00000,0.72770,0.92467,0.92000,0.90580,1.00000
falcon3:10b,0.90000,0.98571,1.00000,0.92360,0.98000,0.98000,0.57580,0.98000,0.75630,0.87852,0.86000,0.97330,0.98480
falcon3:7b,0.92000,0.99500,0.96000,0.86930,0.96000,1.00000,0.68180,1.00000,0.75670,1.00000,0.84000,0.89200,0.54550
gemma3:12b,0.98000,0.99714,1.00000,0.89570,1.00000,1.00000,0.60610,1.00000,0.73880,0.94667,0.94000,0.96300,1.00000
gemma3:1b,0.70000,0.85881,0.50000,0.43350,0.68000,0.36000,0.42420,0.84000,0.71040,0.53324,0.76000,0.11360,0.86360
gemma3:27b,0.98000,1.00000,1.00000,0.92720,1.00000,1.00000,0.57580,0.98000,0.80830,1.00000,0.94000,0.99710,1.00000
glm4:9b,0.88000,1.00000,0.94000,0.90520,0.96000,0.84000,0.53030,0.98000,0.67850,0.92667,0.86000,0.81830,1.00000
internlm2:7b,0.84000,0.95750,0.96000,0.81630,0.94000,0.64000,0.57580,0.74000,0.36730,0.90500,0.84000,0.75400,0.98480
llama2:13b,0.88000,0.98893,0.86000,0.54740,0.82000,0.56000,0.60610,0.84000,0.65830,0.97333,0.88000,0.37870,0.95450
llama2:7b,0.80000,0.96857,0.44000,0.54500,0.78000,0.00000,0.51520,0.84000,0.40150,0.88033,0.76000,0.22870,0.72730
llama3.1:70b,0.96000,1.00000,1.00000,0.99250,1.00000,1.00000,0.72730,1.00000,0.81810,0.95333,0.94000,0.99570,0.98480
mistral-nemo:12b,0.88000,0.04000,0.82000,0.94120,1.00000,0.92000,0.72730,1.00000,0.75500,1.00000,0.86000,0.88910,0.95450
