model,confidence_calibration,cvlt_word_list,digit_span,drm_false_memory,epitome_tom,false_belief,flanker,go_nogo,n_back,operation_span,post_decision_wagering,source_monitoring,stroop
tinyllama:1.1b,0.71758,0.50321,0.04000,-0.00000,0.24000,0.88000,-0.39338,-0.02263,0.89377,0.01833,-1.80088,0.07610,-0.26838
qwen2.5:0.5b,0.62603,0.78357,0.42000,-0.00250,0.58000,0.52000,-0.15625,-0.67599,0.29475,0.19167,0.53292,0.26092,-0.28676
qwen2.5:1.5b,0.83979,0.88274,0.64000,-0.02683,0.74000,0.52000,-0.15441,-0.67599,0.09018,0.85205,0.45688,0.56559,-0.11581
qwen2.5:3b,0.90000,0.92476,0.82000,-0.54250,0.96000,0.46000,-0.48713,2.72956,0.33532,0.91829,0.47291,0.62720,0.00000
qwen2.5:7b,0.95905,1.00000,0.98000,-0.21033,0.92000,1.00000,-0.40257,3.86242,0.62459,0.67057,0.86638,0.90227,0.00000
qwen2.5:14b,0.94530,1.00000,1.00000,-0.07100,0.98000,1.00000,-0.22610,3.86242,1.30585,1.00000,0.57182,0.65584,0.00000
qwen2.5:32b,0.96270,1.00000,1.00000,-0.04317,1.00000,0.94000,-0.25551,3.86242,1.41596,0.99429,0.71238,1.00000,0.00000
gemma2:2b,0.88695,0.98571,0.58000,-0.67933,0.76000,0.76000,-0.05882,3.16380,0.31896,0.88867,0.82131,0.71987,0.00919
gemma2:9b,0.96000,0.86881,0.96000,-0.21500,0.96000,1.00000,-0.39706,3.23663,1.01264,1.00000,1.02149,0.99298,0.00000
gemma2:27b,0.97930,1.00000,1.00000,-0.56150,1.00000,1.00000,-0.35294,3.23663,1.23507,1.00000,1.16064,0.98701,0.00000
llama3.2:1b,0.79897,0.93429,0.04000,-0.01349,0.36000,0.48000,0.05699,-0.67599,0.29852,0.47471,0.12762,0.35990,-0.25368
llama3.2:3b,0.96629,0.83631,0.88000,-0.17983,0.84000,0.28000,-0.13235,2.44318,-0.09688,0.99381,0.42833,0.80552,-0.02941
llama3.1:8b,0.93964,0.98667,0.98000,-0.13433,0.96000,0.90000,-0.04596,3.86242,0.93338,0.94500,0.46077,0.94032,0.00000
deepseek-r1:7b,0.79735,0.54762,0.96000,-0.06767,0.40000,0.34000,-0.13787,3.86242,2.32536,0.70233,0.98076,0.21545,0.00184
deepseek-r1:14b,0.94235,0.85524,0.72000,-0.08300,0.98000,1.00000,0.01103,3.86242,3.22005,0.93333,1.62041,0.46844,0.03125
mistral:7b,0.89995,1.00000,0.86000,-0.69650,0.86000,0.68000,-0.04044,3.23663,0.55116,0.44881,0.44741,0.76470,-0.05882
mixtral:8x7b,0.92480,0.96583,0.68000,-0.29883,0.96000,0.68000,-0.10110,3.86242,0.36562,0.51648,0.35914,0.68402,0.06801
