fold,family,models,cells,elpd_general,elpd_bifactor,delta_elpd,delta_elpd_per_cell
0,qwen,12,156,-217.9492480716989,-215.2967252410814,2.6525228306174995,0.017003351478317306
1,gemma,6,78,-70.85597367864588,-69.89339309924453,0.9625805794013473,0.012340776658991633
1,command-r,1,13,-12.129874143037828,-12.299043230843314,-0.16916908780548567,-0.01301300675426813
1,internlm,1,13,-10.766809256511443,-11.00436872661494,-0.23755947010349665,-0.018273805392576666
1,starling,1,13,-27.60071703688832,-27.489605656898483,0.11111137998983622,0.008547029229987402
2,llama,6,78,-96.11041607747053,-96.32697175999584,-0.21655568252531054,-0.002776354904170648
2,deepseek,1,13,-21.13978181215254,-22.04273272312743,-0.9029509109748908,-0.0694577623826839
2,nemotron,1,13,-23.0433649471209,-23.451286227031876,-0.40792127991097615,-0.03137855999315201
2,tinyllama,1,13,-67.02805702016498,-69.81148865403732,-2.7834316338723397,-0.21411012568248766
3,phi,3,39,-68.5237985554954,-70.8631534878599,-2.3393549323645004,-0.05998345980421796
3,mistral,2,26,-31.68311837466821,-36.1526478859668,-4.469529511298589,-0.17190498120379188
3,smollm,2,26,-49.10906546751565,-49.56234210268299,-0.4532766351673416,-0.017433716737205448
3,openchat,1,13,-10.951459437509278,-10.861936373784411,0.08952306372486696,0.006886389517297458
3,zephyr,1,13,-17.97780542781519,-17.746044796409095,0.2317606314060967,0.017827740877392053
4,yi,3,39,-33.64724651514372,-33.1042856407379,0.5429608744058214,0.01392207370271337
4,mixtral,2,26,-25.82955853266622,-24.931369628882297,0.8981889037839217,0.03454572706861237
4,aya,1,13,-12.288619544965147,-11.875286462735886,0.41333308222926135,0.03179485247917395
4,exaone,1,13,-9.75259715539977,-9.52925238405794,0.22334477134182862,0.01718036702629451
4,solar,1,13,-10.163236842912397,-10.164534753922958,-0.0012979110105604263,-9.983930850464818e-05
5,deepseek-r,2,26,-42.77095843231037,-44.61670765316748,-1.8457492208571082,-0.07099035464835032
5,falcon,2,26,-42.62521678262774,-40.310540694543604,2.314676088084134,0.08902600338785131
5,olmo,2,26,-28.535834924695642,-28.857571109274552,-0.32173618457890996,-0.012374468637650383
5,glm,1,13,-10.06259128377036,-9.359230945857371,0.7033603379129882,0.054104641377922175
5,stablelm,1,13,-15.886144565431916,-15.44513191183269,0.4410126535992269,0.03392405027686361
