grouping,paradigm,paradigm_key,n_checkpoints,n_families,fixed_slope_per_log10_parameter,fixed_slope_se,wald_p,random_intercept_variance,residual_variance,random_intercept_icc,converged,boundary_warning
WM,N-back,n_back,20,11,0.1268215,0.04650906,0.0063949302,0.0734942346,0.0069179161,0.91396927,True,False
WM,Digit span,digit_span,20,11,0.36086828,0.08904017,5.0593e-05,0.0130627395,0.0403627518,0.24450387,True,False
WM,Operation span,operation_span,20,11,0.24980634,0.10495923,0.0173111322,0.0578790323,0.0368264435,0.61114769,True,False
Control,Stroop,stroop,20,11,0.16939372,0.0386185,1.15276e-05,0.0081245965,0.00621004,0.56678078,True,True
Control,Flanker,flanker,20,11,0.11412113,0.03873061,0.0032135538,0.0027615793,0.0057327054,0.32511028,True,True
Control,Go/No-Go,go_nogo,20,11,0.38058194,0.08293525,4.4558e-06,0.0004277042,0.0387664247,0.01091246,True,True
Episodic,CVLT,cvlt_word_list,20,11,0.12399149,0.04372334,0.0045708328,0.0083354021,0.0083068826,0.50085684,True,True
Episodic,DRM,drm_false_memory,20,11,0.38409661,0.07681201,5.719e-07,3.49205e-05,0.0501086138,0.00069641,False,True
Episodic,Source monitoring,source_monitoring,20,11,0.32720789,0.06657303,8.877e-07,0.0400010408,0.0155729968,0.71977928,True,False
ToM,False belief,false_belief,20,11,0.2491411,0.07896368,0.001604236,2.02e-08,0.0398857738,5.1e-07,False,True
ToM,EPITOME,epitome_tom,20,11,0.2929664,0.06220344,2.4795e-06,0.0045858438,0.0213179969,0.17703335,True,True
Meta,Calibration,confidence_calibration,20,11,0.20120049,0.04221291,1.8762e-06,0.0275797071,0.0059523009,0.82248898,True,False
Meta,Wagering,post_decision_wagering,20,11,0.19885046,0.0478407,3.23143e-05,0.0289811411,0.0077913582,0.78811997,True,False
