model,confidence_calibration,cvlt_word_list,digit_span,drm_false_memory,epitome_tom,false_belief,flanker,go_nogo,n_back,operation_span,post_decision_wagering,source_monitoring,stroop
tinyllama:1.1b,0.1,0.4643,0.04,0.0043,0.24,0.88,0.4848,0.8,0.0,0.2201,0.02,0.0761,0.4242
qwen2.5:0.5b,0.58,0.7861,0.42,0.0862,0.58,0.52,0.5758,0.16,0.7254,0.4307,0.58,0.2609,0.7273
qwen2.5:1.5b,0.84,0.8827,0.64,0.0786,0.74,0.52,0.5455,0.16,0.4952,0.5868,0.84,0.5656,0.9091
qwen2.5:3b,0.9,0.9248,0.82,0.7177,0.96,0.46,0.5303,0.9,0.6908,0.5982,0.76,0.6272,1.0
qwen2.5:7b,0.96,1.0,0.98,0.9321,0.92,1.0,0.6364,1.0,0.735,0.509,0.9,0.9023,1.0
qwen2.5:14b,0.94,1.0,1.0,0.9823,0.98,1.0,0.7273,1.0,0.8054,0.6705,0.92,0.6558,1.0
qwen2.5:32b,0.96,1.0,1.0,0.9906,1.0,0.94,0.7121,1.0,0.7975,0.7354,0.94,1.0,1.0
gemma2:2b,0.88,0.9857,0.58,0.7597,0.76,0.76,0.4697,0.96,0.5819,0.5343,0.88,0.7199,0.8485
gemma2:9b,0.96,0.8606,0.96,0.9527,0.96,1.0,0.5455,0.98,0.7756,0.6139,0.92,0.993,1.0
gemma2:27b,0.98,1.0,1.0,0.8681,1.0,1.0,0.8182,0.98,0.7813,0.6346,0.94,0.987,1.0
llama3.2:1b,0.72,0.93,0.04,0.602,0.36,0.48,0.5606,0.16,0.4754,0.4388,0.58,0.3599,0.6818
llama3.2:3b,0.96,0.8363,0.88,0.9497,0.84,0.28,0.6818,0.84,0.6877,0.5792,0.84,0.8055,0.9848
llama3.1:8b,0.94,0.9867,0.98,0.9644,0.96,0.9,0.7576,1.0,0.7127,0.5981,0.9,0.9403,1.0
deepseek-r1:7b,0.76,0.5476,0.96,0.37,0.4,0.34,0.7727,1.0,0.361,0.2853,0.64,0.2155,0.9697
deepseek-r1:14b,0.92,0.8477,0.72,0.7914,0.98,1.0,0.8182,1.0,0.3967,0.9204,0.9,0.4684,0.9848
mistral:7b,0.9,1.0,0.86,0.713,0.86,0.68,0.6667,0.98,0.6742,0.4276,0.82,0.7647,0.9697
mixtral:8x7b,0.92,0.284,0.68,0.8132,0.96,0.68,0.6667,1.0,0.0887,0.402,0.8,0.684,0.8788
phi3:14b,0.86,0.9975,0.4,0.8844,0.88,0.98,0.6212,1.0,0.0904,0.4037,0.74,0.592,0.9697
yi:34b,0.92,1.0,1.0,0.7482,0.94,1.0,0.7273,0.96,0.7208,0.4641,0.9,0.5255,1.0
command-r:35b,0.94,1.0,0.94,0.9802,0.96,0.94,0.5152,1.0,0.7577,0.606,0.86,0.8657,1.0
aya:8b,0.84,1.0,0.62,0.4025,0.86,0.92,0.5,0.84,0.669,0.587,0.72,0.6862,0.9394
deepseek-llm:7b,0.8,0.7411,0.34,0.7621,0.88,0.28,0.6212,0.16,0.4833,0.427,0.72,0.1962,0.9242
exaone3.5:7.8b,0.94,0.8169,0.98,0.9189,0.96,1.0,0.6515,1.0,0.7277,0.6289,0.92,0.9058,1.0
falcon3:10b,0.9,0.9857,1.0,0.9236,0.98,0.98,0.5758,0.98,0.7563,0.5272,0.86,0.9733,0.9848
falcon3:7b,0.92,0.995,0.96,0.8693,0.96,1.0,0.6818,1.0,0.7567,0.6584,0.84,0.892,0.5455
gemma3:12b,0.98,0.9971,1.0,0.8957,1.0,1.0,0.6061,1.0,0.7388,0.6275,0.94,0.963,1.0
gemma3:1b,0.7,0.8588,0.5,0.4335,0.68,0.36,0.4242,0.84,0.7104,0.4761,0.76,0.1136,0.8636
gemma3:27b,0.98,1.0,1.0,0.9272,1.0,1.0,0.5758,0.98,0.8083,0.7272,0.94,0.9971,1.0
glm4:9b,0.88,1.0,0.94,0.9052,0.96,0.84,0.5303,0.98,0.6785,0.6312,0.86,0.8183,1.0
internlm2:7b,0.84,0.9575,0.96,0.8163,0.94,0.64,0.5758,0.74,0.3673,0.3708,0.84,0.754,0.9848
llama2:13b,0.88,0.9789,0.86,0.5474,0.82,0.56,0.6061,0.84,0.6583,0.5703,0.88,0.3787,0.9545
llama2:7b,0.8,0.9529,0.44,0.545,0.78,0.0,0.5152,0.84,0.4015,0.3935,0.76,0.2287,0.7273
llama3.1:70b,0.96,1.0,1.0,0.9925,1.0,1.0,0.7273,1.0,0.8181,0.7176,0.94,0.9957,0.9848
mistral-nemo:12b,0.88,0.04,0.82,0.9412,1.0,0.92,0.7273,1.0,0.755,0.6265,0.86,0.8891,0.9545
mixtral:8x22b,0.92,1.0,0.98,0.9896,1.0,0.98,0.6667,1.0,0.6546,0.4123,0.82,0.9968,0.8939
nemotron-mini:4b,0.76,0.0133,0.6,0.0139,0.82,0.94,0.5455,0.84,0.6856,0.2194,0.68,0.296,1.0
olmo2:13b,0.88,0.8657,0.84,0.8451,0.92,0.46,0.5455,0.96,0.6271,0.4259,0.84,0.7298,0.9697
olmo2:7b,0.68,0.99,0.5,0.6869,1.0,0.88,0.4545,0.7,0.6533,0.3668,0.82,0.5594,0.8939
openchat:7b,0.84,1.0,0.94,0.8623,0.96,1.0,0.5606,1.0,0.7096,0.5849,0.9,0.5897,1.0
phi3:3.8b,0.88,0.0,0.96,0.8618,0.94,0.82,0.6667,0.4,0.0013,0.0033,0.84,0.7054,0.9242
phi4:14b,0.92,1.0,1.0,0.9681,1.0,1.0,0.4545,1.0,0.256,0.4547,0.96,0.3,1.0
qwen2.5:72b,0.98,1.0,1.0,0.9851,1.0,1.0,0.9091,1.0,0.7977,0.767,0.94,0.74,1.0
qwen3:0.6b,0.68,0.795,0.96,0.0614,0.72,0.02,0.6061,0.98,0.4025,0.154,0.58,0.2998,0.9848
qwen3:1.7b,0.86,0.6348,1.0,0.2858,0.84,0.54,0.9394,1.0,0.3683,0.5398,0.84,0.0875,1.0
qwen3:14b,0.96,0.7495,1.0,0.8705,1.0,1.0,0.8939,1.0,0.8719,0.8295,0.94,0.6416,1.0
qwen3:4b,0.94,0.3863,0.36,0.0,0.62,0.0,0.3182,0.92,0.0025,0.005,0.58,0.0,0.8485
qwen3:8b,0.94,0.4506,1.0,0.4509,0.98,0.86,0.803,1.0,0.7012,0.4486,0.94,0.5329,1.0
smollm2:1.7b,0.88,0.9975,0.66,0.4111,0.72,0.88,0.6061,0.16,0.7017,0.575,0.84,0.3507,0.6212
smollm2:360m,0.66,0.7882,0.34,0.0446,0.38,0.96,0.5152,0.16,0.7254,0.4365,0.3,0.1496,0.5909
solar:10.7b,0.88,0.5688,0.88,0.8544,0.9,0.9,0.6212,0.98,0.7271,0.4771,0.84,0.6551,0.9848
stablelm2:1.6b,0.6,0.464,0.26,0.3263,0.66,0.84,0.4242,0.88,0.0,0.3328,0.48,0.1639,0.8485
starling-lm:7b,0.92,0.3418,0.02,0.8338,0.9,1.0,0.4848,1.0,0.0,0.6087,0.88,0.2426,0.8636
yi:6b,0.84,0.9925,0.82,0.7266,0.78,0.92,0.5303,0.94,0.4333,0.4278,0.82,0.6736,0.9697
yi:9b,0.92,0.9361,0.76,0.9149,0.96,0.98,0.6667,1.0,0.3902,0.5243,0.76,0.9304,0.9394
zephyr:7b,0.86,0.9593,0.8,0.8208,0.86,1.0,0.4394,0.92,0.0448,0.3085,0.78,0.3136,0.9545
